Ref_Date,GEO,VIEWER,CONTENT,PROGRAMME,Vector,Coordinate,Value
1998,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign","Total, all types of television programmes",v21419926,1.1.1.1,100.0
1999,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign","Total, all types of television programmes",v21419926,1.1.1.1,100.0
2000,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign","Total, all types of television programmes",v21419926,1.1.1.1,100.0
2001,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign","Total, all types of television programmes",v21419926,1.1.1.1,100.0
2002,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign","Total, all types of television programmes",v21419926,1.1.1.1,100.0
2003,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign","Total, all types of television programmes",v21419926,1.1.1.1,100.0
2004,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign","Total, all types of television programmes",v21419926,1.1.1.1,100.0
1998,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",News and public affairs,v21419927,1.1.1.2,23.4
1999,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",News and public affairs,v21419927,1.1.1.2,23.0
2000,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",News and public affairs,v21419927,1.1.1.2,24.1
2001,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",News and public affairs,v21419927,1.1.1.2,25.9
2002,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",News and public affairs,v21419927,1.1.1.2,25.2
2003,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",News and public affairs,v21419927,1.1.1.2,26.2
2004,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",News and public affairs,v21419927,1.1.1.2,24.4
1998,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Documentary,v21419928,1.1.1.3,2.6
1999,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Documentary,v21419928,1.1.1.3,3.0
2000,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Documentary,v21419928,1.1.1.3,3.7
2001,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Documentary,v21419928,1.1.1.3,3.8
2002,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Documentary,v21419928,1.1.1.3,3.6
2003,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Documentary,v21419928,1.1.1.3,3.8
2004,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Documentary,v21419928,1.1.1.3,3.2
1998,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Academic instruction,v21419929,1.1.1.4,1.8
1999,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Academic instruction,v21419929,1.1.1.4,2.3
2000,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Academic instruction,v21419929,1.1.1.4,2.3
2001,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Academic instruction,v21419929,1.1.1.4,2.5
2002,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Academic instruction,v21419929,1.1.1.4,3.6
2003,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Academic instruction,v21419929,1.1.1.4,3.3
2004,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Academic instruction,v21419929,1.1.1.4,3.2
1998,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Social and/or recreational instruction,v21419930,1.1.1.5,1.2
1999,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Social and/or recreational instruction,v21419930,1.1.1.5,1.1
2000,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Social and/or recreational instruction,v21419930,1.1.1.5,1.3
2001,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Social and/or recreational instruction,v21419930,1.1.1.5,1.3
2002,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Social and/or recreational instruction,v21419930,1.1.1.5,1.2
2003,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Social and/or recreational instruction,v21419930,1.1.1.5,1.2
2004,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Social and/or recreational instruction,v21419930,1.1.1.5,1.1
1998,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Religion,v21419931,1.1.1.6,0.3
1999,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Religion,v21419931,1.1.1.6,0.3
2000,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Religion,v21419931,1.1.1.6,0.3
2001,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Religion,v21419931,1.1.1.6,0.4
2002,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Religion,v21419931,1.1.1.6,0.4
2003,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Religion,v21419931,1.1.1.6,0.2
2004,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Religion,v21419931,1.1.1.6,0.3
1998,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Sports,v21419932,1.1.1.7,8.4
1999,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Sports,v21419932,1.1.1.7,8.3
2000,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Sports,v21419932,1.1.1.7,8.5
2001,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Sports,v21419932,1.1.1.7,8.5
2002,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Sports,v21419932,1.1.1.7,8.2
2003,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Sports,v21419932,1.1.1.7,8.2
2004,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Sports,v21419932,1.1.1.7,6.5
1998,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Variety and games,v21419933,1.1.1.8,10.7
1999,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Variety and games,v21419933,1.1.1.8,11.8
2000,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Variety and games,v21419933,1.1.1.8,11.9
2001,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Variety and games,v21419933,1.1.1.8,11.3
2002,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Variety and games,v21419933,1.1.1.8,11.5
2003,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Variety and games,v21419933,1.1.1.8,12.9
2004,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Variety and games,v21419933,1.1.1.8,15.2
1998,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Music and dance,v21419934,1.1.1.9,1.2
1999,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Music and dance,v21419934,1.1.1.9,1.2
2000,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Music and dance,v21419934,1.1.1.9,1.2
2001,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Music and dance,v21419934,1.1.1.9,1.3
2002,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Music and dance,v21419934,1.1.1.9,1.0
2003,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Music and dance,v21419934,1.1.1.9,1.2
2004,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Music and dance,v21419934,1.1.1.9,1.0
1998,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Comedy,v21419935,1.1.1.10,11.6
1999,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Comedy,v21419935,1.1.1.10,11.1
2000,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Comedy,v21419935,1.1.1.10,11.7
2001,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Comedy,v21419935,1.1.1.10,11.3
2002,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Comedy,v21419935,1.1.1.10,11.4
2003,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Comedy,v21419935,1.1.1.10,11.3
2004,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Comedy,v21419935,1.1.1.10,10.0
1998,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Drama,v21419936,1.1.1.11,28.2
1999,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Drama,v21419936,1.1.1.11,29.3
2000,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Drama,v21419936,1.1.1.11,27.5
2001,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Drama,v21419936,1.1.1.11,27.4
2002,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Drama,v21419936,1.1.1.11,27.1
